Age,Gender,School,Start Date,End Date,Internship Goals,School d'pt,Stack,Highest Level of Education Completed
22,Male,NAHPI,2025-03-01,2025-08-30,"Fulfill academic requirements 
Improve skills 
Gain more experience 
Experience industry trends 
Build meaningful projects ",COMPUTER ENGINEERING,Data science,ADVANCED LEVEL
19,Male,COLTECH,2025-02-18,2025-03-22,"1: gain practical experience in network security 
2: develop skills in thread analysis and response 
3: improve my knowledge of security tools and technologies 
4: build professional relationship and network 
",COMPUTER ENGINEERING,Cyber security,ADVANCED LEVEL
21,Male,NAHPI,2025-03-19,2025-09-19,"Gain development skill
networking
gain practical skills
Real world experience
communication skills",COMPUTER ENGINEERING,Back-    end,ADVANCED LEVEL
19,Male,COLTECH,2025-02-18,2025-02-18,"These are some of my goals for the internship at skye8
1. To get to know how it is like to be a Network Engineer
2. To be able to build a physical network
3. To be able to provide a good security to my network
4. To experience the kind of work Networkers do 
",COMPUTER ENGINEERING,Cyber security,ADVANCED LEVEL
20,Male,COLTECH,2025-02-21,2025-03-22,"1. Learning the basics on html, css and javascript 
2. Creating a network with other interns
3. Helping the team if need be
4. Building projects that solves real life situations ",COMPUTER ENGINEERING,Front-end,ADVANCED LEVEL
20,Male,NAHPI,2025-02-18,2025-08-29,"- To build my software development skills
- To build my confidence as a developer
- To meet new people
- To gain some soft skills
- To grow professionally",COMPUTER ENGINEERING,Back-end,ADVANCED LEVEL
20,Male,COLTECH,2025-02-12,2025-03-31,"-get better at coding 
-be so good that I can be an asset to Skye 8
-gain experience working in a company setting 
-get better at working with teams
-learn to work under pressure ",COMPUTER ENGINEERING,Front-end,ADVANCED LEVEL
19,Female,COLTECH,2025-02-18,2025-03-31,User did not input anything,COMPUTER ENGINEERING,Front-end,ADVANCED LEVEL
22,Female,NAHPI,2025-03-18,2025-05-18,"To know how to program using python 
To do machining learning 
Know something about artificial intelligence 
To know more about professional base wide world 
Achieve skills on data science ",BIOMEDICAL ENGINEERING,Data science,ADVANCED LEVEL
21,Female,NAHPI,2025-02-18,2025-05-18,"Learn how to code in Python
Acquire skills in data analysis
Gain hands-on experience in using AI to improve healthcare systems
Learn how to work in a professional setting",BIOMEDICAL ENGINEERING,Data science,ADVANCED LEVEL
20,Male,NAHPI,2025-03-19,2025-09-19,"Professional growth
Skill development
Networking and relationships
Personal development
Contributing to the org",COMPUTER ENGINEERING,Data science,ADVANCED LEVEL
20,Male,COLTECH,2025-02-25,2025-03-28,"- Gain knowledge in data processing with python.
- Gain knowledge in Machine learning and AI
- Gain Knowledge in NLP and Deep learning
- Gain an understanding of working under company standards
- Build a good mastery of team work
",COMPUTER ENGINEERING,Data science,ADVANCED LEVEL
20,Female,HIPDET,2024-11-19,2025-03-29,To Understand the basic and to build the future,COMPUTER ENGINEERING,Front-end,ADVANCED LEVEL
20,Male,NAHPI,2025-03-01,2025-05-01,"-Learn and apply data manipulation techniques 
-Implement and experiment with basic machine learning models
-Gain Hands-on Experience with Data Visualization
-Collaborate on Real-World Projects
-Improve Communication and Reporting Skills",COMPUTER ENGINEERING,Data science,ADVANCED LEVEL
20,Female,NAHPI,2025-02-20,2025-09-20,"Improve my skills in frontend development 
Professional Development 
Hands on experience on real world projects
Academic obligation 
Boost my creativity and professional career",COMPUTER ENGINEERING,Front-end,ADVANCED LEVEL
22,Female,NAHPI,2025-02-19,2025-09-30,"Improve skill on  frontend developer
work on real life projects
Professional development 
Academic obligation
Know how company operates
",COMPUTER ENGINEERING,Front-end,ADVANCED LEVEL
18,Male,COLTECH,2025-02-18,2025-03-22,"- Gain field experience
- Develop skills in cyber security
- Improve knowledge of operating system
- contribute to security and networking projects
- been able to design and configure network
- Networking and threat analysis",COMPUTER ENGINEERING,Cyber security,ADVANCED LEVEL
25,Male,HICM,2025-02-25,2025-03-29,"*To bridge the gap between the theory obtained in school and real-world practice.
*To gain experience and position myself as a professional in the project management industry.
*To network with fellow interns in the industry for future mutual benefit.
*To understand how IT projects are being carried out. ",DIGITAL MARKETING,Project management,ADVANCED LEVEL
19,Female,HICM,2025-11-03,2025-11-09,"Aquire skills, gain knowledge and be productive ",DIGITAL MARKETING,Digital marketing,ADVANCED LEVEL
